system:index,Code Departamento,Code Provincia,Date (YMD),Departamento,Provincia,codeRio,distanciaRio,elevacion_m,estacion,fecha0,fechas,hayRioCercano,idx,lat,lon,pendiente_grados,precipitation_sum,runoff_sum,temperature_2m,tipoDeSuelo,total_evaporation_sum,volumetric_soil_water_layer_1,.geo
10,14098,14,22/2/2008,Rio Cuarto,Cordoba,34345-6361,23.14,514,verano,2008-02-18,"[2008-02-18, 2008-02-19, 2008-02-20, 2008-02-21, 2008-02-22, 2008-02-23, 2008-02-24]",false,10,-32.64751095,-64.22141859,2.88,"[40.4, 0.7, 10, 9, 9.7, 0.2, 0.2]",0.0018525421619415283,295.49245897928876,Complejo indiferenci,-0.001271987333893776,0.32193247477213544,"{""type"":""Point"",""coordinates"":[-64.22141859,-32.64751095]}"
11,06875,6,11/11/2004,Villarino,Buenos Aires,33091-6394,29.23,25,primavera,2004-11-08,"[2004-11-08, 2004-11-09, 2004-11-10, 2004-11-11, 2004-11-12, 2004-11-13, 2004-11-14]",false,11,-39.4323988,-62.9350751,1.2,"[0.2, 2.9, 0, 0, 0, 6.2, 0]",7.897615432739258E-7,293.8878943125407,Molisoles,-0.0018964912742376328,0.06526819864908855,"{""type"":""Point"",""coordinates"":[-62.935075100000006,-39.4323988]}"
12,82042,82,28/10/2015,General Lopez,Santa Fe,6725-2212,8.61,121,primavera,2015-10-26,"[2015-10-26, 2015-10-27, 2015-10-28, 2015-10-29, 2015-10-30, 2015-10-31, 2015-11-01]",true,12,-34.17471073,-62.05032677,3.84,"[0, 0.3, 6.1, 39.8, 0, 0, 0]",3.069639205932617E-6,289.8850631713867,Molisoles,-0.0020633377134799957,0.27904001871744794,"{""type"":""Point"",""coordinates"":[-62.05032677,-34.17471073]}"
13,06357,6,14/9/1996,General Pueyrredon,Buenos Aires,3347-1742,17.47,21,invierno,1996-09-09,"[1996-09-09, 1996-09-10, 1996-09-11, 1996-09-12, 1996-09-13, 1996-09-14, 1996-09-15]",false,13,-37.80766254,-57.62989086,5.55,"[0.4, 0, 0, 0, 0, 0.1, 13.1]",6.645917892456055E-6,280.62456766764325,Molisoles,-0.002209056168794632,0.4459349314371745,"{""type"":""Point"",""coordinates"":[-57.62989086,-37.80766254000001]}"
14,82105,82,2/7/2011,San Jeronimo,Santa Fe,123-123,29.33,42,invierno,2011-06-27,"[2011-06-27, 2011-06-28, 2011-06-29, 2011-06-30, 2011-07-01, 2011-07-02, 2011-07-03]",false,14,-32.2399352,-61.231266,4.95,"[0, 0, 0, 0, 0, 0, 0]",1.341104507446289E-7,278.02099990844727,Molisoles,-0.001161813735961914,0.4412771860758464,"{""type"":""Point"",""coordinates"":[-61.231266,-32.2399352]}"
15,82133,82,3/11/2003,Vera,Santa Fe,3041-1094,9.46,59,primavera,2003-11-03,"[2003-11-03, 2003-11-04, 2003-11-05, 2003-11-06, 2003-11-07, 2003-11-08, 2003-11-09]",true,15,-29.72572798,-60.28951287,2.33,"[0, 0, 0, 0, 0, 0.4, 19.4]",2.532750368118286E-4,289.4060688018799,Lagunas,-0.004283979535102844,0.3678404490152995,"{""type"":""Point"",""coordinates"":[-60.28951287,-29.72572798]}"
16,82049,82,25/7/2000,General Obligado,Santa Fe,32822-6509,17.99,58,invierno,2000-07-24,"[2000-07-24, 2000-07-25, 2000-07-26, 2000-07-27, 2000-07-28, 2000-07-29, 2000-07-30]",false,16,-28.6765561,-59.7497004,1.41,"[0, 0, 0, 0, 0, 0, 0]",7.074624300003052E-4,282.940336227417,Alfisoles,-0.002084433101117611,0.4122740427652995,"{""type"":""Point"",""coordinates"":[-59.7497004,-28.676556099999996]}"
17,22140,22,1/10/1993,San Fernando,Chaco,6254-1933,11.88,54,primavera,1993-09-27,"[1993-09-27, 1993-09-28, 1993-09-29, 1993-09-30, 1993-10-01, 1993-10-02, 1993-10-03]",true,17,-27.92561531,-59.31798172,2.97,"[0, 0, 6.5, 7.8, 3.4, 5, 12]",2.4700164794921875E-4,288.53279813130695,Complejo indiferenci,-0.003764689899981022,0.32599131266276044,"{""type"":""Point"",""coordinates"":[-59.317981720000006,-27.925615310000005]}"
18,22014,22,6/11/1998,Bermejo,Chaco,32998-6511,18.89,65,primavera,1998-11-02,"[1998-11-02, 1998-11-03, 1998-11-04, 1998-11-05, 1998-11-06, 1998-11-07, 1998-11-08]",false,18,-26.92175039,-58.77874597,2.28,"[0.6, 0.9, 0, 0, 0, 21, 0]",0.0011081397533416748,294.1586284637451,Rio,-0.004920433275401592,0.3608570098876953,"{""type"":""Point"",""coordinates"":[-58.77874597,-26.92175039]}"
19,22140,22,28/3/1991,San Fernando,Chaco,6254-1933,11.88,54,otoño,1991-03-25,"[1991-03-25, 1991-03-26, 1991-03-27, 1991-03-28, 1991-03-29, 1991-03-30, 1991-03-31]",true,19,-27.92561531,-59.31798172,2.97,"[0, 0, 0, 0, 0, 0, 0]",1.0651350021362305E-4,300.2734495798747,Complejo indiferenci,-0.00458117201924324,0.2927430470784505,"{""type"":""Point"",""coordinates"":[-59.317981720000006,-27.925615310000005]}"
