system:index,Code Departamento,Code Provincia,Date (YMD),Departamento,Provincia,codeRio,distanciaRio,elevacion_m,estacion,fecha0,fechas,hayRioCercano,idx,lat,lon,pendiente_grados,precipitation_sum,runoff_sum,temperature_2m,tipoDeSuelo,total_evaporation_sum,volumetric_soil_water_layer_1,.geo
863,82077,82,23/2/1992,9 de Julio,Santa Fe,105-105,10.52,84,verano,1992-02-17,"[1992-02-17, 1992-02-18, 1992-02-19, 1992-02-20, 1992-02-21, 1992-02-22, 1992-02-23]",true,863,-29.0758472,-61.73625069,5.09,"[0.1, 0.1, 0, 0, 5, 10.8, 0]",2.669990062713623E-4,299.84424082438153,Molisoles,-0.005070081911981106,0.4551544189453125,"{""type"":""Point"",""coordinates"":[-61.73625069,-29.07584719999999]}"
864,82098,82,5/10/2014,San Javier,Santa Fe,6247-1929,17.29,60,primavera,2014-09-29,"[2014-09-29, 2014-09-30, 2014-10-01, 2014-10-02, 2014-10-03, 2014-10-04, 2014-10-05]",false,864,-29.42420679,-59.97955475,5.55,"[0, 2.2, 0, 0, 0, 4.3, 54.6]",1.685023307800293E-4,294.4512583414714,Complejo indiferenci,-0.0021427366882562637,0.3640664418538411,"{""type"":""Point"",""coordinates"":[-59.97955475,-29.424206790000007]}"
865,82035,82,6/8/2003,Garay,Santa Fe,33531-6669,2.91,23,invierno,2003-08-04,"[2003-08-04, 2003-08-05, 2003-08-06, 2003-08-07, 2003-08-08, 2003-08-09, 2003-08-10]",true,865,-31.1523125,-60.1365521,2.36,"[13.6, 0.6, 0.3, 0, 0, 0, 0]",0.003794372081756592,287.54749234517413,Molisoles,-3.1700171530246735E-4,0.42543665568033856,"{""type"":""Point"",""coordinates"":[-60.1365521,-31.152312499999997]}"
866,82028,82,8/10/2003,Constitucion,Santa Fe,36996-7283,18.3,104,primavera,2003-10-06,"[2003-10-06, 2003-10-07, 2003-10-08, 2003-10-09, 2003-10-10, 2003-10-11, 2003-10-12]",false,866,-33.3790173,-61.3544315,1.85,"[0, 0, 18.7, 0, 0, 0, 0]",7.881224155426025E-5,294.23661041259766,Alfisoles,-0.0023917118087410927,0.300753911336263,"{""type"":""Point"",""coordinates"":[-61.354431500000004,-33.37901730000001]}"
867,86056,86,24/11/2004,Copo,Santiago del Estero,6309-1957,42.91,266,primavera,2004-11-22,"[2004-11-22, 2004-11-23, 2004-11-24, 2004-11-25, 2004-11-26, 2004-11-27, 2004-11-28]",false,867,-25.72948778,-63.46601397,2.96,"[0, 1.8, 13.1, 7.7, 5, 9.1, 0]",3.2782554626464844E-6,302.74538167317706,Molisoles,-0.0032594604417681694,0.2190831502278646,"{""type"":""Point"",""coordinates"":[-63.46601397,-25.72948778]}"
868,86028,86,6/6/1992,Avellaneda,Santiago del Estero,32009-6398,25.02,106,otoño,1992-06-01,"[1992-06-01, 1992-06-02, 1992-06-03, 1992-06-04, 1992-06-05, 1992-06-06, 1992-06-07]",false,868,-28.70814175,-63.1050531,2.31,"[0, 0, 0, 0, 0, 2.7, 2.2]",1.447051763534546E-4,286.5487403869629,Alfisoles,-0.0014626393094658852,0.28267987569173175,"{""type"":""Point"",""coordinates"":[-63.1050531,-28.708141750000003]}"
869,18070,18,5/5/2014,Goya,Corrientes,6624-2091,11.86,59,otoño,2014-05-05,"[2014-05-05, 2014-05-06, 2014-05-07, 2014-05-08, 2014-05-09, 2014-05-10, 2014-05-11]",true,869,-29.1751244,-58.88982054,2.14,"[4.6, 0.4, 0, 0, 0, 0, 0.3]",2.0441412925720215E-4,294.99180666605633,Rio,-0.0015832483768463135,0.4007396697998047,"{""type"":""Point"",""coordinates"":[-58.889820540000024,-29.1751244]}"
870,18021,18,4/2/2002,Capital,Corrientes,6611-2085,6.4,45,verano,2002-02-04,"[2002-02-04, 2002-02-05, 2002-02-06, 2002-02-07, 2002-02-08, 2002-02-09, 2002-02-10]",true,870,-27.4064,-58.78276,12.77,"[0, 0.4, 0.9, 0.6, 0, 0.1, 0]",4.1772425174713135E-4,297.61591657002765,Rio,-0.006631993688642979,0.3164316813151042,"{""type"":""Point"",""coordinates"":[-58.78276,-27.4064]}"
871,82063,82,18/2/1997,La Capital,Santa Fe,103-103,23.73,25,verano,1997-02-17,"[1997-02-17, 1997-02-18, 1997-02-19, 1997-02-20, 1997-02-21, 1997-02-22, 1997-02-23]",false,871,-31.18858147,-60.62677383,2.15,"[0, 0, 3, 0, 0, 0, 0]",2.512335777282715E-5,298.2310269673665,Molisoles,-0.003860277123749256,0.4578227996826172,"{""type"":""Point"",""coordinates"":[-60.62677383,-31.18858147]}"
872,82049,82,24/5/2012,General Obligado,Santa Fe,32822-6509,17.99,58,otoño,2012-05-21,"[2012-05-21, 2012-05-22, 2012-05-23, 2012-05-24, 2012-05-25, 2012-05-26, 2012-05-27]",false,872,-28.6765561,-59.7497004,1.41,"[0.9, 3.2, 20.5, 0.5, 0, 0, 0.1]",1.703202724456787E-5,294.1745827992757,Alfisoles,-0.001578853465616703,0.4238707224527995,"{""type"":""Point"",""coordinates"":[-59.7497004,-28.676556099999996]}"
873,38035,38,4/6/2009,Ledesma,Jujuy,33117-6463,14.96,383,otoño,2009-06-01,"[2009-06-01, 2009-06-02, 2009-06-03, 2009-06-04, 2009-06-05, 2009-06-06, 2009-06-07]",true,873,-23.88497353,-64.67390442,0.93,"[0, 0, 0, 0, 0, 0, 0]",4.078596830368042E-4,287.2612991333008,Roca,-0.002674248069524765,0.46470896402994794,"{""type"":""Point"",""coordinates"":[-64.67390442,-23.884973529999996]}"
874,18126,18,15/1/2007,Saladas,Corrientes,36693-7166,23.89,72,verano,2007-01-15,"[2007-01-15, 2007-01-16, 2007-01-17, 2007-01-18, 2007-01-19, 2007-01-20, 2007-01-21]",false,874,-28.32076054,-58.54644943,2.3,"[0, 0, 5.4, 0.4, 10.7, 1.2, 0]",2.8014183044433594E-6,296.01233164469403,Molisoles,-0.006616231985390186,0.3865044911702474,"{""type"":""Point"",""coordinates"":[-58.54644943,-28.320760540000002]}"
875,18119,18,17/3/1993,Paso de los Libres,Corrientes,1383-1063,15.85,57,verano,1993-03-15,"[1993-03-15, 1993-03-16, 1993-03-17, 1993-03-18, 1993-03-19, 1993-03-20, 1993-03-21]",false,875,-29.87793885,-57.53288465,1.42,"[8.3, 1.6, 0.6, 0.2, 1.1, 0, 0]",1.9031763076782227E-4,300.30941645304364,Molisoles,-0.00419863685965538,0.41776593526204425,"{""type"":""Point"",""coordinates"":[-57.53288465,-29.877938850000003]}"
876,18112,18,21/6/1998,Monte Caseros,Corrientes,1388-1077,8.95,56,otoño,1998-06-15,"[1998-06-15, 1998-06-16, 1998-06-17, 1998-06-18, 1998-06-19, 1998-06-20, 1998-06-21]",true,876,-30.47490444,-57.98344137,1.85,"[20.4, 69.4, 0, 0, 0, 0, 0]",0.006554752588272095,289.330259958903,Alfisoles,-7.191291078925133E-4,0.4980328877766927,"{""type"":""Point"",""coordinates"":[-57.98344137000001,-30.474904439999996]}"
877,18049,18,8/5/2008,Esquina,Corrientes,9200-2836,11.96,43,otoño,2008-05-05,"[2008-05-05, 2008-05-06, 2008-05-07, 2008-05-08, 2008-05-09, 2008-05-10, 2008-05-11]",true,877,-30.0784368,-59.4055912,1.42,"[0, 0, 0, 0, 0, 0, 0]",2.0712614059448242E-6,288.1261870066325,Complejo indiferenci,-0.0019768662750720978,0.32024192810058594,"{""type"":""Point"",""coordinates"":[-59.405591199999996,-30.0784368]}"
878,18035,18,3/8/1998,Curuzu Cuatia,Corrientes,9021-2832,18.94,69,invierno,1998-08-03,"[1998-08-03, 1998-08-04, 1998-08-05, 1998-08-06, 1998-08-07, 1998-08-08, 1998-08-09]",false,878,-29.30959977,-58.51285545,1.41,"[0, 0, 0, 0, 0, 0, 0]",0.002095162868499756,286.5454107920329,Alfisoles,-0.0016718721017241478,0.4564355214436849,"{""type"":""Point"",""coordinates"":[-58.51285545,-29.30959977]}"
879,18021,18,11/4/1998,Capital,Corrientes,6611-2085,6.4,45,otoño,1998-04-06,"[1998-04-06, 1998-04-07, 1998-04-08, 1998-04-09, 1998-04-10, 1998-04-11, 1998-04-12]",true,879,-27.4064,-58.78276,12.77,"[46, 0, 0, 0, 1.4, 22.9, 37.7]",0.00896473228931427,294.45271492004395,Rio,-0.001312093809247017,0.36588478088378906,"{""type"":""Point"",""coordinates"":[-58.78276,-27.4064]}"
880,22140,22,24/2/2000,San Fernando,Chaco,6254-1933,11.88,54,verano,2000-02-21,"[2000-02-21, 2000-02-22, 2000-02-23, 2000-02-24, 2000-02-25, 2000-02-26, 2000-02-27]",true,880,-27.92561531,-59.31798172,2.97,"[0.5, 0, 1.3, 1.6, 30.6, 14.8, 30.6]",1.1453032493591309E-4,297.90053304036456,Complejo indiferenci,-0.004333138465881348,0.22562853495279947,"{""type"":""Point"",""coordinates"":[-59.317981720000006,-27.925615310000005]}"
881,22140,22,18/4/2013,San Fernando,Chaco,6254-1933,11.88,54,otoño,2013-04-15,"[2013-04-15, 2013-04-16, 2013-04-17, 2013-04-18, 2013-04-19, 2013-04-20, 2013-04-21]",true,881,-27.92561531,-59.31798172,2.97,"[0, 0, 0, 0, 0, 0, 0]",7.107853889465332E-6,291.3061606089274,Complejo indiferenci,-0.003316248767077923,0.3435535430908203,"{""type"":""Point"",""coordinates"":[-59.317981720000006,-27.925615310000005]}"
882,02008,2,1/12/1997,Comuna 8,Capital Federal,36837-7237,7.49,21,primavera,1997-12-01,"[1997-12-01, 1997-12-02, 1997-12-03, 1997-12-04, 1997-12-05, 1997-12-06, 1997-12-07]",true,882,-34.67499358,-58.47616299,1.13,"[0, 19.8, 0, 0, 0, 3.4, 4.4]",4.13358211517334E-5,293.08125495910645,Miscelaneas,-0.005353461019694805,0.42633946736653644,"{""type"":""Point"",""coordinates"":[-58.47616299,-34.67499358]}"
883,02010,2,22/5/2015,Comuna 10,Capital Federal,36837-7237,4.71,24,otoño,2015-05-18,"[2015-05-18, 2015-05-19, 2015-05-20, 2015-05-21, 2015-05-22, 2015-05-23, 2015-05-24]",true,883,-34.62768629,-58.48358728,1.46,"[1.1, 0, 0, 0, 0.4, 4.7, 0]",1.6430020332336426E-4,293.8325017293294,Miscelaneas,-9.17503610253334E-4,0.271518071492513,"{""type"":""Point"",""coordinates"":[-58.48358728,-34.62768628999999]}"
884,02008,2,25/11/2015,Comuna 8,Capital Federal,36837-7237,7.49,21,primavera,2015-11-23,"[2015-11-23, 2015-11-24, 2015-11-25, 2015-11-26, 2015-11-27, 2015-11-28, 2015-11-29]",true,884,-34.67499358,-58.47616299,1.13,"[0, 0, 0, 0.2, 18.1, 0, 0]",6.559491157531738E-5,292.15011469523114,Miscelaneas,-0.004020801745355129,0.28601964314778644,"{""type"":""Point"",""coordinates"":[-58.47616299,-34.67499358]}"
885,02015,2,6/10/2011,Comuna 15,Capital Federal,36837-7237,2.81,29,primavera,2011-10-03,"[2011-10-03, 2011-10-04, 2011-10-05, 2011-10-06, 2011-10-07, 2011-10-08, 2011-10-09]",true,885,-34.59294425,-58.48867142,4.63,"[0, 0, 0, 5.6, 61.1, 0, 5.5]",2.2646784782409668E-4,284.55163701375324,Miscelaneas,-0.0036332784220576286,0.2911275227864583,"{""type"":""Point"",""coordinates"":[-58.48867142,-34.59294425]}"
886,02007,2,9/2/1991,Comuna 7,Capital Federal,36837-7237,7.04,22,verano,1991-02-04,"[1991-02-04, 1991-02-05, 1991-02-06, 1991-02-07, 1991-02-08, 1991-02-09, 1991-02-10]",true,886,-34.63680708,-58.45826985,2.25,"[0.6, 0, 0, 0, 0, 3.5, 0.1]",6.599575281143188E-4,297.6992645263672,Miscelaneas,-0.004131379537284374,0.3065357208251953,"{""type"":""Point"",""coordinates"":[-58.45826984999999,-34.63680708]}"
887,02013,2,12/11/1996,Comuna 13,Capital Federal,54-54,3.99,10,primavera,1996-11-11,"[1996-11-11, 1996-11-12, 1996-11-13, 1996-11-14, 1996-11-15, 1996-11-16, 1996-11-17]",true,887,-34.55488152,-58.4502891,3.85,"[0, 0, 0, 0.1, 3.9, 0.1, 0]",2.7148425579071045E-4,291.24419530232746,Miscelaneas,-0.005431776866316795,0.4109948476155599,"{""type"":""Point"",""coordinates"":[-58.4502891,-34.55488152]}"
888,02015,2,16/5/1990,Comuna 15,Capital Federal,36837-7237,2.81,29,otoño,1990-05-14,"[1990-05-14, 1990-05-15, 1990-05-16, 1990-05-17, 1990-05-18, 1990-05-19, 1990-05-20]",true,888,-34.59294425,-58.48867142,4.63,"[2, 0, 0.5, 1.6, 0, 0, 0]",6.40377402305603E-4,287.2012087504069,Miscelaneas,-0.0013316692784428596,0.4278093973795573,"{""type"":""Point"",""coordinates"":[-58.48867142,-34.59294425]}"
889,02006,2,8/6/1995,Comuna 6,Capital Federal,85-85,5.9,32,otoño,1995-06-05,"[1995-06-05, 1995-06-06, 1995-06-07, 1995-06-08, 1995-06-09, 1995-06-10, 1995-06-11]",true,889,-34.6168255,-58.44360311,5.01,"[0, 25.6, 0, 0, 1.8, 0.3, 0.9]",1.8730759620666504E-4,291.2018337249756,Miscelaneas,-0.0011705541983246803,0.32998212178548175,"{""type"":""Point"",""coordinates"":[-58.44360310999999,-34.6168255]}"
890,02003,2,3/5/1997,Comuna 3,Capital Federal,85-85,2.82,29,otoño,1997-04-28,"[1997-04-28, 1997-04-29, 1997-04-30, 1997-05-01, 1997-05-02, 1997-05-03, 1997-05-04]",true,890,-34.60909977,-58.40306252,1.46,"[0, 0, 0, 0, 0, 0, 0]",1.0073184967041016E-4,287.0348587036133,Miscelaneas,-0.0018958374857902527,0.3086630503336589,"{""type"":""Point"",""coordinates"":[-58.403062520000006,-34.60909977000001]}"
891,02014,2,14/7/1996,Comuna 14,Capital Federal,85-85,2.68,24,invierno,1996-07-08,"[1996-07-08, 1996-07-09, 1996-07-10, 1996-07-11, 1996-07-12, 1996-07-13, 1996-07-14]",true,891,-34.57389998,-58.42243645,5.28,"[25.3, 10.9, 4.2, 0, 0, 0, 0]",3.4877657890319824E-4,284.3308442433675,Miscelaneas,-0.002165054902434349,0.42885462443033856,"{""type"":""Point"",""coordinates"":[-58.42243645,-34.57389997999999]}"
892,02001,2,22/11/1997,Comuna 1,Capital Federal,8891-2706,1.05,28,primavera,1997-11-17,"[1997-11-17, 1997-11-18, 1997-11-19, 1997-11-20, 1997-11-21, 1997-11-22, 1997-11-23]",true,892,-34.62504786,-58.38438723,3.7,"[0, 0, 0, 3.6, 1, 1.8, 4.3]",1.5263259410858154E-4,289.0831832885742,Miscelaneas,-0.0050306739285588264,0.3049964904785156,"{""type"":""Point"",""coordinates"":[-58.38438723000001,-34.62504786000001]}"
893,02004,2,1/10/1998,Comuna 4,Capital Federal,8891-2706,2.09,10,primavera,1998-09-28,"[1998-09-28, 1998-09-29, 1998-09-30, 1998-10-01, 1998-10-02, 1998-10-03, 1998-10-04]",true,893,-34.64641355,-58.38427103,1.46,"[0, 0, 0, 0, 0, 0.9, 7.7]",6.557852029800415E-4,284.0668137868245,Miscelaneas,-0.0041355593129992485,0.40268898010253906,"{""type"":""Point"",""coordinates"":[-58.384271029999994,-34.64641355]}"
894,02003,2,17/10/1993,Comuna 3,Capital Federal,85-85,2.82,29,primavera,1993-10-11,"[1993-10-11, 1993-10-12, 1993-10-13, 1993-10-14, 1993-10-15, 1993-10-16, 1993-10-17]",true,894,-34.60909977,-58.40306252,1.46,"[0, 8, 0, 0, 0, 54, 19.9]",5.011111497879028E-4,294.5929425557454,Miscelaneas,-0.0030795345082879066,0.25789769490559894,"{""type"":""Point"",""coordinates"":[-58.403062520000006,-34.60909977000001]}"
895,02014,2,13/8/1991,Comuna 14,Capital Federal,85-85,2.68,24,invierno,1991-08-12,"[1991-08-12, 1991-08-13, 1991-08-14, 1991-08-15, 1991-08-16, 1991-08-17, 1991-08-18]",true,895,-34.57389998,-58.42243645,5.28,"[0.2, 0, 0, 0, 0, 0, 4.2]",6.147772073745728E-4,282.5276222229004,Miscelaneas,-0.0014995643869042397,0.43830426534016925,"{""type"":""Point"",""coordinates"":[-58.42243645,-34.57389997999999]}"
896,06861,6,16/4/2002,Vicente Lopez,Buenos Aires,36837-7237,3.72,28,otoño,2002-04-15,"[2002-04-15, 2002-04-16, 2002-04-17, 2002-04-18, 2002-04-19, 2002-04-20, 2002-04-21]",true,896,-34.52591497,-58.53576394,1.13,"[7.8, 40.7, 9.5, 0, 0.3, 0, 0]",,,Miscelaneas,,,"{""type"":""Point"",""coordinates"":[-58.53576394000001,-34.52591497]}"
897,06840,6,21/3/2008,Tres de Febrero,Buenos Aires,36837-7237,6.8,27,verano,2008-03-17,"[2008-03-17, 2008-03-18, 2008-03-19, 2008-03-20, 2008-03-21, 2008-03-22, 2008-03-23]",true,897,-34.60887295,-58.56366446,1.85,"[0, 0.4, 0.2, 0, 9.4, 17.4, 0]",3.059208393096924E-5,296.6079578399658,Miscelaneas,-0.0024079326540231705,0.31123797098795575,"{""type"":""Point"",""coordinates"":[-58.563664460000005,-34.60887294999999]}"
898,06805,6,19/7/2009,Tigre,Buenos Aires,34847-6831,1.44,4,invierno,2009-07-13,"[2009-07-13, 2009-07-14, 2009-07-15, 2009-07-16, 2009-07-17, 2009-07-18, 2009-07-19]",true,898,-34.3277116,-58.608687,3.84,"[0, 0, 0, 0, 0, 0, 0.2]",9.685754776000977E-7,282.9882214864095,Rio,-0.0012765619903802872,0.3603515625,"{""type"":""Point"",""coordinates"":[-58.608687,-34.3277116]}"
899,06756,6,28/11/1994,San Isidro,Buenos Aires,53-53,1.29,24,primavera,1994-11-28,"[1994-11-28, 1994-11-29, 1994-11-30, 1994-12-01, 1994-12-02, 1994-12-03, 1994-12-04]",true,899,-34.47940181,-58.5074044,5.81,"[9.3, 1.3, 0, 0.2, 6.8, 51.5, 0]",,,Rio,,,"{""type"":""Point"",""coordinates"":[-58.507404400000006,-34.47940181]}"
900,06749,6,14/10/1993,San Fernando,Buenos Aires,34847-6831,5.62,5,primavera,1993-10-11,"[1993-10-11, 1993-10-12, 1993-10-13, 1993-10-14, 1993-10-15, 1993-10-16, 1993-10-17]",true,900,-34.2256455,-58.5931568,3.84,"[0, 12.8, 0, 0, 0, 62.2, 26.9]",7.450580596923828E-8,295.6456769307454,Rio,-0.004255454055964947,0.4327125549316406,"{""type"":""Point"",""coordinates"":[-58.5931568,-34.2256455]}"
901,06658,6,13/1/2007,Quilmes,Buenos Aires,35407-6950,4.25,3,verano,2007-01-08,"[2007-01-08, 2007-01-09, 2007-01-10, 2007-01-11, 2007-01-12, 2007-01-13, 2007-01-14]",true,901,-34.70037841,-58.27664278,2.17,"[0, 0, 5, 0.5, 0, 0.6, 0]",,,Miscelaneas,,,"{""type"":""Point"",""coordinates"":[-58.276642779999996,-34.70037841]}"
902,06638,6,17/11/1999,Pilar,Buenos Aires,34357-5904,12.77,16,primavera,1999-11-15,"[1999-11-15, 1999-11-16, 1999-11-17, 1999-11-18, 1999-11-19, 1999-11-20, 1999-11-21]",true,902,-34.42200558,-58.95283788,1.46,"[0, 0, 0, 2.7, 1.5, 0, 0]",8.38935375213623E-6,295.70879046122235,Molisoles,-0.004334021359682083,0.298587163289388,"{""type"":""Point"",""coordinates"":[-58.95283788,-34.42200558]}"
903,06568,6,5/2/2009,Moron,Buenos Aires,33486-6512,15.92,14,verano,2009-02-02,"[2009-02-02, 2009-02-03, 2009-02-04, 2009-02-05, 2009-02-06, 2009-02-07, 2009-02-08]",false,903,-34.6644131,-58.64564271,3.58,"[1.7, 27.4, 0.2, 0.8, 0.2, 0, 0]",1.9073486328125E-6,296.7810522715251,Miscelaneas,-0.0010478198528289795,0.2677319844563802,"{""type"":""Point"",""coordinates"":[-58.645642710000004,-34.6644131]}"
904,06568,6,12/5/2015,Moron,Buenos Aires,33486-6512,15.92,14,otoño,2015-05-11,"[2015-05-11, 2015-05-12, 2015-05-13, 2015-05-14, 2015-05-15, 2015-05-16, 2015-05-17]",false,904,-34.6644131,-58.64564271,3.58,"[0.2, 0, 0.1, 0, 0.2, 0, 0]",1.7583370208740234E-5,287.0504258473714,Miscelaneas,-8.769836276769638E-4,0.35769017537434894,"{""type"":""Point"",""coordinates"":[-58.645642710000004,-34.6644131]}"
905,06560,6,27/3/1998,Moreno,Buenos Aires,42-42,17.53,33,otoño,1998-03-23,"[1998-03-23, 1998-03-24, 1998-03-25, 1998-03-26, 1998-03-27, 1998-03-28, 1998-03-29]",false,905,-34.55865957,-58.81630109,4.33,"[1.5, 0.3, 0, 0, 6.6, 0.1, 0]",1.290440559387207E-5,294.2247994740804,Complejo indiferenci,-0.002177545800805092,0.34177080790201825,"{""type"":""Point"",""coordinates"":[-58.81630109,-34.55865957]}"
906,06539,6,1/4/2011,Merlo,Buenos Aires,33486-6512,18.44,32,otoño,2011-03-28,"[2011-03-28, 2011-03-29, 2011-03-30, 2011-03-31, 2011-04-01, 2011-04-02, 2011-04-03]",false,906,-34.70854224,-58.67958673,3.7,"[0, 0, 0, 0, 0.4, 0.3, 12.5]",7.450580596923828E-7,289.6620616912842,Complejo indiferenci,-0.0020048990845680237,0.32585589090983075,"{""type"":""Point"",""coordinates"":[-58.67958673,-34.70854223999999]}"
907,06525,6,28/11/1995,Marcos Paz,Buenos Aires,6936-2128,28.61,33,primavera,1995-11-27,"[1995-11-27, 1995-11-28, 1995-11-29, 1995-11-30, 1995-12-01, 1995-12-02, 1995-12-03]",false,907,-34.776242,-58.9395696,1.46,"[0, 0, 0, 4.2, 5, 0, 0]",1.595914363861084E-5,289.9845898946126,Complejo indiferenci,-0.0033923350274562836,0.30371348063151044,"{""type"":""Point"",""coordinates"":[-58.9395696,-34.776242]}"
908,06505,6,13/11/1990,Magdalena,Buenos Aires,3344-1739,9.75,18,primavera,1990-11-12,"[1990-11-12, 1990-11-13, 1990-11-14, 1990-11-15, 1990-11-16, 1990-11-17, 1990-11-18]",true,908,-35.17544498,-57.51894858,0.93,"[0, 27.2, 0.7, 16.1, 0, 0, 0]",1.2680888175964355E-5,291.3127791086833,Complejo indiferenci,-0.003891352564096451,0.332858403523763,"{""type"":""Point"",""coordinates"":[-57.51894857999999,-35.17544498]}"
909,06497,6,23/9/2004,Lujan,Buenos Aires,7-7,7.25,39,invierno,2004-09-20,"[2004-09-20, 2004-09-21, 2004-09-22, 2004-09-23, 2004-09-24, 2004-09-25, 2004-09-26]",true,909,-34.4619848,-59.1744878,0.93,"[0, 0, 0, 0, 0, 0, 0]",3.056228160858154E-5,284.45584042867023,Complejo indiferenci,-0.003153381869196892,0.4449990590413411,"{""type"":""Point"",""coordinates"":[-59.1744878,-34.4619848]}"
910,06490,6,7/7/1992,Lomas de Zamora,Buenos Aires,35405-6949,5.53,9,invierno,1992-07-06,"[1992-07-06, 1992-07-07, 1992-07-08, 1992-07-09, 1992-07-10, 1992-07-11, 1992-07-12]",true,910,-34.73790272,-58.44067537,3,"[0, 0, 0, 0, 0, 0, 7.6]",1.6663968563079834E-4,279.0514787038167,Miscelaneas,-0.0012855920940637589,0.42550214131673175,"{""type"":""Point"",""coordinates"":[-58.44067537000001,-34.73790272]}"
911,06434,6,14/12/2003,Lanus,Buenos Aires,8891-2706,4.6,5,primavera,2003-12-08,"[2003-12-08, 2003-12-09, 2003-12-10, 2003-12-11, 2003-12-12, 2003-12-13, 2003-12-14]",true,911,-34.69095715,-58.38386285,4.6,"[18.4, 0, 0, 8, 0, 0, 3.9]",0.002449125051498413,290.98808034261066,Miscelaneas,-0.0017115110531449318,0.4386405944824219,"{""type"":""Point"",""coordinates"":[-58.38386285000001,-34.69095715000001]}"
912,06441,6,15/6/2006,La Plata,Buenos Aires,3314-1708,23.31,26,otoño,2006-06-12,"[2006-06-12, 2006-06-13, 2006-06-14, 2006-06-15, 2006-06-16, 2006-06-17, 2006-06-18]",false,912,-35.03880607,-58.05930616,0.93,"[0, 0, 0, 0, 0, 0, 4.6]",8.32974910736084E-6,282.90697224934894,Complejo indiferenci,-9.912112727761269E-4,0.4212360382080078,"{""type"":""Point"",""coordinates"":[-58.05930616,-35.03880607000001]}"
913,06427,6,18/6/2006,La Matanza,Buenos Aires,33486-6512,4.98,8,otoño,2006-06-12,"[2006-06-12, 2006-06-13, 2006-06-14, 2006-06-15, 2006-06-16, 2006-06-17, 2006-06-18]",true,913,-34.71417289,-58.50890438,7.28,"[0, 0, 0, 0, 0, 0.6, 2.4]",9.590387344360352E-5,282.7047424316406,Molisoles,-0.0011445358395576477,0.3827934265136719,"{""type"":""Point"",""coordinates"":[-58.50890437999999,-34.71417289000001]}"
914,06638,6,9/9/1995,Pilar,Buenos Aires,42-42,10.41,16,invierno,1995-09-04,"[1995-09-04, 1995-09-05, 1995-09-06, 1995-09-07, 1995-09-08, 1995-09-09, 1995-09-10]",true,914,-34.42200558,-58.95283788,1.46,"[0, 0, 0, 6.9, 0.7, 0.1, 0]",1.7464160919189453E-5,288.3469003041585,Molisoles,-0.0017836298793554306,0.3278299967447917,"{""type"":""Point"",""coordinates"":[-58.95283788,-34.42200558]}"
915,06638,6,1/1/2007,Pilar,Buenos Aires,42-42,10.41,16,verano,2007-01-01,"[2007-01-01, 2007-01-02, 2007-01-03, 2007-01-04, 2007-01-05, 2007-01-06, 2007-01-07]",true,915,-34.42200558,-58.95283788,1.46,"[0, 0.3, 11, 0, 0, 0, 0]",1.8328428268432617E-6,302.5923652648926,Molisoles,-0.006487499922513962,0.3948535919189453,"{""type"":""Point"",""coordinates"":[-58.95283788,-34.42200558]}"
916,06371,6,26/7/2002,General San Martin,Buenos Aires,36837-7237,8.51,8,invierno,2002-07-22,"[2002-07-22, 2002-07-23, 2002-07-24, 2002-07-25, 2002-07-26, 2002-07-27, 2002-07-28]",true,916,-34.56734338,-58.58431125,17.23,"[0.6, 0.1, 5.9, 0, 0, 0, 0]",7.865577936172485E-4,286.1271800994873,Miscelaneas,-0.002186322584748268,0.47027015686035156,"{""type"":""Point"",""coordinates"":[-58.58431125,-34.56734338]}"
917,06364,6,22/1/2000,General Rodriguez,Buenos Aires,6936-2128,20,32,verano,2000-01-17,"[2000-01-17, 2000-01-18, 2000-01-19, 2000-01-20, 2000-01-21, 2000-01-22, 2000-01-23]",false,917,-34.72117406,-59.01160158,1.46,"[0, 0, 0, 0, 21.1, 0, 0]",8.419156074523926E-6,298.12277285257977,Complejo indiferenci,-0.002056712284684181,0.2862739562988281,"{""type"":""Point"",""coordinates"":[-59.01160158,-34.72117406]}"
918,06357,6,13/7/2003,General Pueyrredon,Buenos Aires,3347-1742,17.47,21,invierno,2003-07-07,"[2003-07-07, 2003-07-08, 2003-07-09, 2003-07-10, 2003-07-11, 2003-07-12, 2003-07-13]",false,918,-37.80766254,-57.62989086,5.55,"[0, 7.2, 1.8, 0.5, 0, 0, 0]",4.0084123611450195E-5,281.7463321685791,Molisoles,-9.418437257409096E-4,0.42614110310872394,"{""type"":""Point"",""coordinates"":[-57.62989086,-37.80766254000001]}"
919,06274,6,28/5/2011,Florencio Varela,Buenos Aires,7058-2230,1.42,23,otoño,2011-05-23,"[2011-05-23, 2011-05-24, 2011-05-25, 2011-05-26, 2011-05-27, 2011-05-28, 2011-05-29]",true,919,-34.8275807,-58.222912,0,"[0, 13.6, 6.4, 0, 0, 0, 0]",1.1235475540161133E-5,283.5560836791992,Complejo indiferenci,-0.0015272535383701324,0.3913764953613281,"{""type"":""Point"",""coordinates"":[-58.22291200000001,-34.8275807]}"
