Nombre,Code Departamento,lat,lon,Provincia
9 DE JULIO,62049,-41.25013351,-66.89643097,RÍO NEGRO
GENERAL ROCA,14035,-34.8188719,-63.3857113,CÓRDOBA
ELDORADO,54042,-26.15509937,-54.58240989,MISIONES
GENERAL ARENALES,06294,-34.3397918,-61.3746941,BUENOS AIRES
SAN MARTIN,70091,-31.49227011,-68.30050286,SAN JUAN
SAUCE,18175,-29.98807812,-58.53570766,CORRIENTES
CHIMBAS,70042,-31.49561412,-68.56370679,SAN JUAN
CAPITAL,42021,-36.68302536,-64.19379425,LA PAMPA
VICTORIA,30105,-32.957337,-60.049086,ENTRE RÍOS
TRENEL,42147,-35.74137636,-64.44795989,LA PAMPA
CHAPALEUFU,42056,-35.02186343,-63.81897737,LA PAMPA
SAN ANTONIO,38056,-24.37362671,-65.60406494,JUJUY
CIUDAD DE BUENOS AIRES,02000,-34.61329173,-58.38875174,CIUDAD DE BUENOS AIRES
VERA,82133,-29.72572798,-60.28951287,SANTA FE
12 DE OCTUBRE,22036,-27.34587947,-61.4341435,CHACO
LOS LAGOS,58070,-40.7275238,-71.67723084,NEUQUÉN
GUACHIPAS,66063,-25.77241,-65.34234,SALTA
GODOY CRUZ,50021,-32.92152832,-68.85492318,MENDOZA
GENERAL BELGRANO,46063,-30.55722809,-66.16072846,LA RIOJA
PEHUENCHES,58091,-36.92528915,-69.9850235,NEUQUÉN
SANTA MARÍA,14147,-31.55910043,-64.19196866,CÓRDOBA
GASTRE,26049,-42.84112549,-68.45661163,CHUBUT
MONTEROS,90070,-27.13862419,-65.44361877,TUCUMÁN
TUPUNGATO,50126,-33.30008474,-69.17169565,MENDOZA
SAN FERNANDO,06749,-34.2256455,-58.5931568,BUENOS AIRES
APOSTOLES,54007,-28.06622124,-55.59853745,MISIONES
MALVINAS ARGENTINAS,06515,-34.45445506,-58.70624174,BUENOS AIRES
CORONEL SUAREZ,06203,-37.6402741,-62.0066225,BUENOS AIRES
2 DE ABRIL,22039,-27.59748636,-61.13197067,CHACO
FORMOSA,34014,-25.73826408,-57.92005921,FORMOSA
LOBERIA,06476,-37.7714343,-58.6447231,BUENOS AIRES
PARANA,30084,-31.88541285,-60.23444834,ENTRE RÍOS
SAN IGNACIO,54098,-27.25123207,-55.5304925,MISIONES
COMUNA 13,02013,-34.55488152,-58.4502891,CIUDAD DE BUENOS AIRES
LANÚS,06434,-34.69095715,-58.38386285,BUENOS AIRES
