system:index,Code Departamento,Code Provincia,Date (YMD),Departamento,Provincia,codeRio,distanciaRio,estacion,fecha0,fechas,hayRioCercano,idx,lat,lon,runoff_sum,temperature_2m,tipoDeSuelo,total_evaporation_sum,volumetric_soil_water_layer_1,.geo
10,06778,hay que cambiarlo,25/2/2015,hay que cambiarlo,hay que cambiarlo,33486-6512,23.66,verano,2015-02-23,"[2015-02-23, 2015-02-24, 2015-02-25, 2015-02-26, 2015-02-27, 2015-02-28, 2015-03-01]",false,10,-35.18311,-58.45241002,4.2319297790527344E-5,297.60122044881183,Molisoles,-0.003253561444580555,0.32301584879557294,"{""type"":""Point"",""coordinates"":[-58.45241002,-35.18311]}"
11,06505,hay que cambiarlo,6/9/2012,hay que cambiarlo,hay que cambiarlo,3344-1739,9.75,invierno,2012-09-03,"[2012-09-03, 2012-09-04, 2012-09-05, 2012-09-06, 2012-09-07, 2012-09-08, 2012-09-09]",true,11,-35.17544498,-57.51894858,1.4841556549072266E-5,284.62795003255206,Complejo indiferenci,-0.001980298198759556,0.42671839396158856,"{""type"":""Point"",""coordinates"":[-57.51894857999999,-35.17544498]}"
12,22021,hay que cambiarlo,10/8/2015,hay que cambiarlo,hay que cambiarlo,36786-7204,49.3,invierno,2015-08-10,"[2015-08-10, 2015-08-11, 2015-08-12, 2015-08-13, 2015-08-14, 2015-08-15, 2015-08-16]",false,12,-26.9538276,-60.51530921,1.4138221740722656E-4,291.2832889556885,Molisoles,-0.0028012730181217194,0.30056126912434894,"{""type"":""Point"",""coordinates"":[-60.515309210000005,-26.953827599999997]}"
13,30088,hay que cambiarlo,10/8/2015,hay que cambiarlo,hay que cambiarlo,32026-6403,32.48,invierno,2015-08-10,"[2015-08-10, 2015-08-11, 2015-08-12, 2015-08-13, 2015-08-14, 2015-08-15, 2015-08-16]",false,13,-31.59398509,-58.37116015,1.716911792755127E-4,288.2081750233968,Vertisoles,-0.001722121611237526,0.46321678161621094,"{""type"":""Point"",""coordinates"":[-58.37116015,-31.593985090000004]}"
14,30035,hay que cambiarlo,13/1/2015,hay que cambiarlo,hay que cambiarlo,36958-7272,25.83,verano,2015-01-12,"[2015-01-12, 2015-01-13, 2015-01-14, 2015-01-15, 2015-01-16, 2015-01-17, 2015-01-18]",false,14,-30.97193714,-58.99327599,3.25128436088562E-4,299.1951103210449,Vertisoles,-0.005783658474683762,0.4214038848876953,"{""type"":""Point"",""coordinates"":[-58.99327599,-30.971937140000005]}"
15,46063,hay que cambiarlo,13/1/2015,hay que cambiarlo,hay que cambiarlo,33392-6628,95.42,verano,2015-01-12,"[2015-01-12, 2015-01-13, 2015-01-14, 2015-01-15, 2015-01-16, 2015-01-17, 2015-01-18]",false,15,-30.55722809,-66.16072846,6.537139415740967E-5,298.3179130554199,Entisoles,-0.004002336412668228,0.23105748494466147,"{""type"":""Point"",""coordinates"":[-66.16072846,-30.55722809]}"
16,02003,hay que cambiarlo,13/1/2015,hay que cambiarlo,hay que cambiarlo,85-85,2.82,verano,2015-01-12,"[2015-01-12, 2015-01-13, 2015-01-14, 2015-01-15, 2015-01-16, 2015-01-17, 2015-01-18]",true,16,-34.60909977,-58.40306252,5.751848220825195E-4,300.8962821960449,Miscelaneas,-0.004758588969707489,0.20541826883951822,"{""type"":""Point"",""coordinates"":[-58.403062520000006,-34.60909977000001]}"
17,02004,hay que cambiarlo,13/1/2015,hay que cambiarlo,hay que cambiarlo,8891-2706,2.09,verano,2015-01-12,"[2015-01-12, 2015-01-13, 2015-01-14, 2015-01-15, 2015-01-16, 2015-01-17, 2015-01-18]",true,17,-34.64641355,-58.38427103,5.751848220825195E-4,300.8962821960449,Miscelaneas,-0.004758588969707489,0.20541826883951822,"{""type"":""Point"",""coordinates"":[-58.384271029999994,-34.64641355]}"
18,54049,hay que cambiarlo,23/12/2015,hay que cambiarlo,hay que cambiarlo,8-8,17.51,verano,2015-12-21,"[2015-12-21, 2015-12-22, 2015-12-23, 2015-12-24, 2015-12-25, 2015-12-26, 2015-12-27]",false,18,-25.79129267,-53.88429149,0.0064229816198349,297.5732224782308,Ultisoles,-0.004731828346848488,0.48021507263183594,"{""type"":""Point"",""coordinates"":[-53.884291489999995,-25.79129267]}"
19,90091,hay que cambiarlo,23/12/2015,hay que cambiarlo,hay que cambiarlo,32292-6460,1.11,verano,2015-12-21,"[2015-12-21, 2015-12-22, 2015-12-23, 2015-12-24, 2015-12-25, 2015-12-26, 2015-12-27]",true,19,-27.40925026,-65.26894379,1.4901161193847656E-6,297.87465476989746,Entisoles,-0.005037275142967701,0.2793801625569661,"{""type"":""Point"",""coordinates"":[-65.26894379,-27.409250260000004]}"
